Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
8767,102,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,,83,-,-,"1,009.00",,102,-,27,3.6,1/21/2021 19:00,+07:00,#NAME?,#NAME?
8688,221,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,,77,-,-,"1,015.00",,-,-,18,1.5,1/21/2021 20:00,+07:00,#NAME?,#NAME?
8641,281,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.3,,77,8.7,0.9,"1,015.00",,281,2.1,18,1.5,1/21/2021 20:00,+07:00,#NAME?,#NAME?
13012,36,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3,,60.2,6,9,923.7,29,36,1,24.3,1,1/21/2021 20:00,+07:00,#NAME?,#NAME?
12488,68,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm25,2,,88,-,-,"1,015.00",52,68,-,21,1,1/21/2021 19:00,+07:00,#NAME?,#NAME?
13251,217,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12,,77,65,1,"1,015.00",194,217,2,18,1.5,1/21/2021 19:00,+07:00,#NAME?,#NAME?
12976,195,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,8,,77,17,23,"1,015.00",119,195,3,18,1.5,1/21/2021 20:00,+07:00,#NAME?,#NAME?
13250,168,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,37,,70.3,2,1,"1,003.20",65,168,17,18.5,1,1/21/2021 20:00,+07:00,#NAME?,#NAME?
5507,48,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,,95.7,11,39,"1,001.00",25,48,-,17,2,1/21/2021 19:00,+07:00,#NAME?,#NAME?
11778,18,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5,,97.5,5,-,"1,002.00",12,18,3,15.4,1,1/21/2021 5:00,+07:00,#NAME?,#NAME?
